Real Time,Tracked Time,Worn State,User in VR,Focus Task,XPos,YPos,ZPos,Pitch,Yaw,Roll,WallColor,Game Time,Phase,Color,Color,Trial,Number,Input,Correct,React,Font,Display Time
15:37:59.889,80.730522,Unknown,false,true,36.429 ,-13.908 ,85.694,2.511727 ,9.480774 ,0.880260,X=0.000 Y=0.000 Z=1.000,40.703991,0,PBlue/PBlue,1,35,9,true,1,0.28862,45,15:37:59.600
15:38:1.77,81.919144,Unknown,false,true,36.418 ,-13.903 ,85.685,2.521303 ,9.495940 ,0.878832,X=0.000 Y=0.000 Z=1.000,41.892601,0,PBlue/PBlue,1,36,5,true,1,0.32206,45,15:38:0.755
15:38:2.299,83.140633,Unknown,false,true,36.424 ,-13.908 ,85.700,2.512785 ,9.475165 ,0.877777,X=0.000 Y=0.000 Z=1.000,43.114052,0,PBlue/PBlue,1,37,2,true,1,0.388629,35,15:38:1.910
15:38:3.409,84.251373,Unknown,false,true,36.421 ,-13.914 ,85.701,2.512683 ,9.502281 ,0.887959,X=0.000 Y=0.000 Z=1.000,44.22477,0,PBlue/PBlue,1,38,9,true,1,0.343829,50,15:38:3.66
15:38:4.631,85.472939,Unknown,false,true,36.421 ,-13.918 ,85.703,2.528037 ,9.499452 ,0.879510,X=0.000 Y=0.000 Z=1.000,45.446377,0,PBlue/PBlue,1,39,4,true,1,0.410522,40,15:38:4.221
15:38:5.742,86.583549,Unknown,false,true,36.420 ,-13.904 ,85.691,2.560030 ,9.513247 ,0.879656,X=0.000 Y=0.000 Z=1.000,46.556988,0,PBlue/PBlue,1,40,5,true,1,0.366116,35,15:38:5.376
15:38:6.942,87.783516,Unknown,false,true,36.417 ,-13.909 ,85.689,2.549907 ,9.511264 ,0.881964,X=0.000 Y=0.000 Z=1.000,47.756931,0,PBlue/PBlue,1,41,4,true,1,0.411447,40,15:38:6.530
15:38:8.96,88.938278,Unknown,false,true,36.421 ,-13.915 ,85.695,2.545495 ,9.506455 ,0.879364,X=0.000 Y=0.000 Z=1.000,48.911652,0,PBlue/PBlue,1,42,2,true,1,0.411031,45,15:38:7.685
15:38:9.296,90.137474,Unknown,false,true,36.416 ,-13.911 ,85.699,2.521228 ,9.511950 ,0.873458,X=0.000 Y=0.000 Z=1.000,50.110874,0,PBlue/PBlue,1,43,9,true,1,0.455294,40,15:38:8.840
15:38:10.351,91.192596,Unknown,false,true,36.417 ,-13.899 ,85.707,2.534526 ,9.499451 ,0.880101,X=0.000 Y=0.000 Z=1.000,51.165989,0,PBlue/PBlue,1,44,6,true,1,0.355096,30,15:38:9.996
